"Date","Price","Open","High","Low","Vol.","Change %"
"29/01/2020","1,974.44","1,982.43","1,983.46","1,973.25","","-0.07%"
"28/01/2020","1,975.75","1,969.36","1,979.64","1,965.93","","0.79%"
"27/01/2020","1,960.25","1,955.96","1,968.52","1,955.96","","-1.12%"
"24/01/2020","1,982.39","1,995.19","1,995.53","1,975.52","","-0.53%"
"23/01/2020","1,992.86","1,989.12","1,993.10","1,984.65","","0.05%"
"22/01/2020","1,991.86","1,993.80","1,995.99","1,990.98","","0.06%"
"21/01/2020","1,990.71","1,991.19","1,994.33","1,989.83","","-0.13%"
"17/01/2020","1,993.37","1,992.09","1,993.74","1,991.49","","0.10%"
"16/01/2020","1,991.42","1,991.48","1,991.55","1,991.42","","0.01%"
"15/01/2020","1,991.20","1,991.00","1,991.26","1,991.00","","0.02%"
"14/01/2020","1,990.71","1,990.71","1,991.13","1,990.37","","0.00%"
"13/01/2020","1,990.62","1,989.50","1,990.62","1,989.12","","0.14%"
"10/01/2020","1,987.85","1,988.90","1,989.43","1,987.38","","0.00%"
"09/01/2020","1,987.92","1,987.14","1,988.01","1,986.65","","0.20%"
"08/01/2020","1,983.93","1,980.16","1,986.63","1,980.16","","0.15%"
"07/01/2020","1,980.88","1,979.74","1,982.40","1,978.34","","-0.03%"
"06/01/2020","1,981.44","1,971.12","1,981.54","1,971.12","","0.24%"
"03/01/2020","1,976.64","1,973.09","1,979.64","1,973.09","","-0.30%"
"02/01/2020","1,982.53","1,979.65","1,982.53","1,977.11","","0.40%"
"31/12/2019","1,974.62","1,968.25","1,974.81","1,967.91","","0.21%"
"30/12/2019","1,970.58","1,975.65","1,975.84","1,968.69","","-0.22%"
"27/12/2019","1,974.84","1,977.84","1,977.90","1,973.66","","-0.09%"
"26/12/2019","1,976.52","1,974.07","1,976.52","1,973.86","","0.22%"
"24/12/2019","1,972.26","1,972.82","1,972.94","1,971.21","","0.02%"
